ID_HECHO,N_VICTIMAS,FECHA,HORA,COMUNA,TIPO_DE_CALLE,XY (CABA),LONGITUD,LATITUD,VEHICULO_ACUSADO
LC-2020-0075949,1,2020-02-05,9.0,4,AVENIDA,Point (109379.414242913 99681.4639170085),-58.361010459733,-34.632099041942,TRANSPORTE PUBLICO
LC-2020-0076077,2,2020-02-05,9.0,12,AVENIDA,Point (98237.4682485594 106343.833425456),-58.48250732522,-34.572082381343,TRANSPORTE PUBLICO
LC-2020-0076139,1,2020-02-05,10.0,6,AVENIDA,Point (103070.863656896 100223.131156802),-58.429811750425,-34.627254200894,AUTO
LC-2020-0076366,1,2020-02-05,11.0,1,AVENIDA,Point (108594.403749192 104484.231961374),-58.369619897511,-34.588811793475,
LC-2020-0076510,1,2020-02-05,12.0,1,AVENIDA,Point (108706.317071122 100663.909795692),-58.368361094989,-34.623248803557,MOTO
LC-2020-0076522,1,2020-02-05,12.0,8,AVENIDA,Point (102349.167848555 96187.5973779805),-58.437670987962,-34.66363383171,CAMIONETA
LC-2020-0076671,1,2020-02-05,13.0,3,CALLE,Point (104701.718510239 102296.63092381),-58.412038473165,-34.608556752569,CAMION
LC-2020-0076710,2,2020-02-05,14.0,4,CALLE,Point (108130.207827574 97076.5412071696),-58.374609129393,-34.655591336414,TRANSPORTE PUBLICO
LC-2020-0076724,1,2020-02-05,12.0,9,GRAL PAZ,Point (94007.6250609963 98145.3545666353),-58.528662116319,-34.645970654564,MOTO
LC-2020-0076833,1,2020-02-05,19.0,3,AVENIDA,Point (106523.29601332 100220.46763478),-58.392162616784,-34.627262249541,
LC-2020-0076958,1,2020-02-05,14.0,10,AVENIDA,Point (94701.8771938665 99493.3610926914),-58.521081012205,-34.633823090642,
LC-2020-0076977,1,2020-02-05,13.0,7,AVENIDA,Point (101669.285778677 99569.305156395),-58.445094856174,-34.633151203665,AUTO
LC-2020-0077059,1,2020-02-05,17.0,5,AVENIDA,Point (103542.346910924 102289.012062175),-58.42467867091,-34.608630025984,AUTO
LC-2020-0077135,1,2020-02-05,16.0,11,CALLE,Point (98764.287080679 101912.628442312),-58.476772843144,-34.612028016734,AUTO
LC-2020-0077298,1,2020-02-05,18.0,2,AVENIDA,Point (106254.225835536 104773.944558742),-58.395130112286,-34.586216985265,AUTO
LC-2020-0077341,1,2020-02-05,13.0,4,AVENIDA,Point (103916.954035021 98692.7916770599),-58.420578076457,-34.641046421554,AUTO
LC-2020-0077348,1,2020-02-05,17.0,1,AVENIDA,Point (108507.82885381 102727.431365556),-58.370546081415,-34.604649053837,AUTO
LC-2020-0077359,1,2020-02-05,18.0,13,AVENIDA,Point (100321.202198882 106102.874731902),-58.459798936314,-34.574256068776,TRANSPORTE PUBLICO
LC-2020-0077485,1,2020-02-05,18.0,11,AVENIDA,Point (99178.8719600424 101713.455791557),-58.47225278344,-34.613823878523,
LC-2020-0077568,1,2020-02-05,17.0,4,CALLE,Point (106494.00650139 97869.9273881013),-58.392464161672,-34.648451067186,AUTO
LC-2020-0077790,1,2020-02-05,22.0,11,GRAL PAZ,Point (94879.1290936857 104434.540057847),-58.519117770109,-34.589282193913,
LC-2020-0075672,1,2020-02-05,4.0,,,Point (98484.7350215067 101757.916049315),,,AUTO
LC-2020-0077845,1,2020-02-06,21.0,15,AVENIDA,Point (102667.082571481 104159.594444867),-58.434227141049,-34.59177039494,MOTO
LC-2020-0077879,1,2020-02-06,22.0,1,AVENIDA,Point (106661.456167677 100708.461480701),-58.390659768961,-34.622862404096,
LC-2020-0078213,1,2020-02-06,15.0,1,AVENIDA,Point (108942.739212183 101258.76728533),-58.365789248046,-34.617884506991,
LC-2020-0078309,1,2020-02-06,9.0,11,AVENIDA,Point (94370.3513039909 101698.64896597),-58.524681836172,-34.613941982406,
LC-2020-0078743,1,2020-02-06,9.0,2,AVENIDA,Point (105078.606410866 104258.624730583),-58.40794100388,-34.590868728236,
LC-2020-0078835,1,2020-02-06,11.0,7,CALLE,Point (102532.845881261 98801.4043734531),-58.435674733054,-34.640071626315,AUTO
LC-2020-0078862,1,2020-02-06,11.0,3,AVENIDA,Point (104899.249020943 99930.2770863193),-58.409871351756,-34.629887094414,CAMION
